timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,FR_clav,FL_clav,BL_clav,BR_clav,FR_hum,FL_hum,BL_hum,BR_hum,FR_rad,FL_rad,BL_rad,BR_rad
2025-04-15 00:23:01,1.0749965454101562,-0.7422025146484375,-10.730811840820312,-3.595419847328244,0.3969465648854962,-1.4961832061068703,90,90,90,90,60,60,60,60,90,90,90,90
2025-04-15 00:23:10,1.2330138549804688,-0.737414111328125,-10.75714805908203,-3.6106870229007635,0.15267175572519084,-1.3511450381679388,78,78,85,90,0,178,180,0,180,7,0,169
2025-04-15 00:23:17,1.1875240234375,-1.9800047729492187,-10.575188732910156,-3.6412213740458017,0.21374045801526717,-1.213740458015267,78,78,85,90,90,88,135,45,80,107,45,124
2025-04-15 00:23:24,1.1037269653320312,-3.1292215698242187,-10.311826550292968,-3.5877862595419847,0.2595419847328244,-1.251908396946565,78,78,85,90,60,118,135,45,60,127,45,124
2025-04-15 00:23:41,1.254561669921875,-0.6272808349609375,-10.752359655761719,-3.549618320610687,0.2748091603053435,-1.2442748091603053,78,78,85,90,60,118,120,60,80,107,100,69
2025-04-15 00:23:50,1.2401964599609374,-0.7350199096679687,-10.735600244140624,-3.6564885496183206,0.26717557251908397,-1.2595419847328244,78,78,85,90,0,178,180,0,180,7,0,169
2025-04-15 21:30:23,0.11252747802734374,0.35194764404296874,-10.613495959472656,-3.946564885496183,0.3435114503816794,-3.931297709923664,90,90,90,90,60,60,60,60,90,90,90,90
2025-04-15 21:30:36,0.15562310791015624,0.37828386230468747,-10.639832177734375,-3.3740458015267176,0.32061068702290074,-1.2442748091603053,78,78,85,90,60,118,120,60,60,127,120,49
2025-04-15 21:31:15,1.4101847778320311,0.296881005859375,-10.845733520507812,-3.6717557251908395,0.3816793893129771,-1.282442748091603,90,90,90,90,60,60,60,60,90,90,90,90
2025-04-15 21:31:27,1.2952630981445312,-0.6703764648437499,-10.68053360595703,-3.4580152671755724,0.2824427480916031,-1.2748091603053435,78,78,85,90,60,118,120,60,60,127,120,49
2025-04-15 21:32:38,1.3287819213867187,0.41898529052734373,-10.75714805908203,-3.564885496183206,0.26717557251908397,-1.4427480916030535,90,90,90,90,60,60,60,60,90,90,90,90
2025-04-15 21:32:50,1.2880804931640624,-0.6871358764648438,-10.730811840820312,-3.7480916030534353,-0.015267175572519083,-1.3129770992366412,78,78,85,90,60,118,120,60,60,127,120,49
2025-04-15 21:32:56,3.284844677734375,-5.322310290527343,-9.957484704589843,-25.099236641221374,-37.396946564885496,43.3206106870229,78,78,85,90,60,118,120,60,60,127,120,29
2025-04-15 21:33:02,2.437297290039062,-0.2609679809570312,-10.721235034179687,-1.7404580152671756,0.015267175572519083,-2.351145038167939,78,78,85,90,60,118,120,60,60,127,120,29
2025-04-15 21:33:08,2.8802245971679685,-0.8690952026367187,-10.254365710449218,-14.442748091603054,-18.49618320610687,-8.396946564885496,78,78,85,90,60,118,120,60,60,127,120,29
2025-04-15 21:43:08,1.7741034301757812,-0.30406361083984373,-10.709264025878905,-3.618320610687023,0.24427480916030533,-1.6412213740458015,90,90,90,90,60,60,60,60,90,90,90,90
2025-04-15 21:43:21,1.1372457885742187,-0.469263525390625,-10.582371337890624,-3.5801526717557253,0.26717557251908397,-1.0229007633587786,78,78,85,90,60,118,120,60,60,127,120,49
2025-04-15 21:43:23,0.7541735229492187,0.10773907470703124,-10.350133776855468,13.114503816793894,14.740458015267176,30.572519083969464,78,78,85,90,60,118,120,60,60,127,120,29
2025-04-15 21:43:25,1.3072341064453123,0.42377369384765623,-10.78348427734375,3.1297709923664123,5.557251908396947,22.732824427480917,78,78,85,90,60,118,120,60,60,127,120,29
2025-04-15 21:43:27,1.5203180541992187,0.42377369384765623,-10.869675537109375,1.9694656488549618,7.900763358778626,17.358778625954198,78,78,85,90,60,118,120,60,60,127,120,29
2025-04-15 21:56:36,1.7717092285156248,-0.22744915771484372,-10.764330664062498,-3.6946564885496183,-1.8091603053435115,-1.3511450381679388,90,90,90,90,60,60,60,60,90,90,90,90
2025-04-15 21:56:48,1.1180921752929687,-0.3232172241210937,-10.848127722167968,-3.595419847328244,-1.786259541984733,-1.366412213740458,78,78,85,90,60,118,120,60,60,127,120,49
2025-04-15 21:56:49,1.3670891479492187,0.29927520751953124,-12.026074938964843,-10.068702290076336,-0.35877862595419846,-1.0687022900763359,78,78,85,90,60,118,120,60,60,127,120,29
2025-04-15 21:56:49,-0.23223756103515625,-0.3016694091796875,-12.026074938964843,-12.312977099236642,34.099236641221374,11.534351145038167,78,78,85,90,60,118,120,60,60,127,120,29
2025-04-15 21:56:49,-0.20350714111328125,-2.288856787109375,-8.054094384765625,-24.106870229007633,21.977099236641223,12.770992366412214,78,78,85,90,60,118,120,60,60,127,120,29
2025-04-15 21:57:16,1.6017209106445311,-0.12210428466796874,-10.771513269042968,-3.717557251908397,0.1450381679389313,-1.3053435114503817,90,90,90,90,60,60,60,60,90,90,90,90
2025-04-15 21:57:28,1.2282254516601563,-0.47884033203125,-10.759542260742187,-3.519083969465649,0.16030534351145037,-1.5877862595419847,78,78,85,90,60,118,120,60,60,127,120,49
2025-04-15 21:57:28,1.1563994018554686,-0.469263525390625,-11.700463513183593,-7.00763358778626,5.480916030534351,-1.5801526717557253,78,78,85,90,60,118,120,60,60,127,120,29
2025-04-15 21:57:28,-0.22266075439453123,-1.3527239379882812,-11.020510241699219,-24.045801526717558,30.35114503816794,-5.099236641221374,78,78,85,90,60,118,120,60,60,127,120,29
